"""Children are safe among family members such as grandparents, uncles, aunts, cousins""","""Children are mainly abused by strangers in our society""",Male children dont need sexual abuse prevention knowledge,"""Teaching sexual abuse prevention in school is not necessary. It will make children curious about sex""",Do you know what child grooming is?,Do you know what signs to look for to identify if your child has been abused?,Do you think children need post abuse counseling for recovering?,Do you think you should take legal action against the abuser of your child?,Knowledge Level
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,No,No,No,Beginner
Agree,Disagree,Agree,Agree,Yes,No,No,No,Beginner
Disagree,Disagree,Agree,Disagree,Yes,Yes,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,No,Beginner
Disagree,Disagree,Disagree,Agree,Yes,No,No,No,Beginner
Disagree,Disagree,Disagree,Agree,No,No,No,No,Beginner
Disagree,Disagree,Agree,Disagree,No,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,No,No,No,Beginner
Agree,Disagree,Agree,Agree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Agree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Agree,No,No,No,No,Beginner
Agree,Agree,Agree,Disagree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,Yes,No,No,Beginner
Agree,Disagree,Agree,Agree,No,Yes,No,No,Beginner
Disagree,Disagree,Agree,Agree,No,Yes,No,No,Beginner
Agree,Disagree,Disagree,Disagree,No,Yes,No,No,Beginner
Disagree,Disagree,Agree,Agree,No,No,No,No,Beginner
Agree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Agree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,No,No,Beginner
Disagree,Agree,Disagree,Disagree,No,No,No,No,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Disagree,Agree,Disagree,Yes,No,No,No,Beginner
Agree,Disagree,Disagree,Disagree,Yes,No,No,No,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,Yes,No,No,No,Beginner
Agree,Agree,Disagree,Agree,Yes,No,No,No,Beginner
Disagree,Disagree,Disagree,Agree,Yes,No,No,No,Beginner
Disagree,Agree,Disagree,Agree,Yes,No,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,No,No,No,Beginner
Disagree,Agree,Disagree,Disagree,Yes,No,No,No,Beginner
Agree,Agree,Agree,Disagree,Yes,No,No,No,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,No,No,Beginner
Agree,Disagree,Agree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Agree,Disagree,Disagree,Yes,No,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,No,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,No,No,No,Beginner
Agree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Agree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,No,Yes,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,No,Yes,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,No,Yes,No,No,Beginner
Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,Yes,Yes,No,Beginner
Agree,Agree,Agree,Agree,No,Yes,Yes,No,Beginner
Agree,Agree,Agree,Agree,No,Yes,No,No,Beginner
Agree,Agree,Agree,Disagree,No,Yes,Yes,Yes,Beginner
Disagree,Agree,Disagree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,No,Yes,Yes,Beginner
Disagree,Agree,Agree,Agree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Agree,Agree,Agree,No,No,Yes,Yes,Beginner
Agree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Agree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Disagree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Disagree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Agree,Agree,No,No,Yes,Yes,Beginner
Disagree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Disagree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Disagree,Yes,Yes,No,No,Beginner
Disagree,Disagree,Agree,Agree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Disagree,Agree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Agree,Agree,Disagree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,No,No,Beginner
Disagree,Disagree,Agree,Agree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,Yes,Yes,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Agree,Disagree,Agree,Agree,Yes,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,Yes,No,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,Yes,Yes,No,Beginner
Agree,Agree,Agree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,No,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Disagree,Agree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Agree,Disagree,Agree,No,No,Yes,No,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Disagree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Disagree,Yes,No,Yes,Yes,Beginner
Disagree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Agree,Disagree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,No,No,Beginner
Disagree,Disagree,Agree,Agree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,Yes,Yes,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Agree,Disagree,Agree,Agree,Yes,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,Yes,No,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,Yes,Yes,No,Beginner
Agree,Agree,Agree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,No,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Disagree,Agree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Agree,Disagree,Agree,No,No,Yes,No,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Disagree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Disagree,Yes,No,Yes,Yes,Beginner
Disagree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Disagree,Agree,Agree,Disagree,No,Yes,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,Yes,No,No,Beginner
Disagree,Disagree,Agree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Agree,Disagree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,No,No,Beginner
Disagree,Disagree,Agree,Agree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,Yes,Yes,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Agree,Disagree,Agree,Agree,Yes,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,Yes,No,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,Yes,Yes,No,Beginner
Agree,Agree,Agree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,No,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Disagree,Agree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Agree,Disagree,Agree,No,No,Yes,No,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Disagree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Disagree,Yes,No,Yes,Yes,Beginner
Disagree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Agree,Agree,No,No,No,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,Yes,No,Yes,Beginner
Agree,Agree,Disagree,Agree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Agree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,Yes,No,Yes,Beginner
Agree,Disagree,Agree,Agree,Yes,No,No,Yes,Beginner
Agree,Disagree,Disagree,Disagree,No,No,No,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,Yes,No,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,No,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Agree,Agree,Disagree,No,Yes,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,No,No,Beginner
Disagree,Disagree,Agree,Agree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,Yes,Yes,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,Yes,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Agree,Disagree,Agree,Agree,Yes,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,Yes,No,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,Yes,Yes,No,Beginner
Agree,Agree,Agree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,No,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Disagree,Agree,Disagree,Yes,No,No,Yes,Beginner
Disagree,Agree,Disagree,Agree,No,No,Yes,No,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Beginner
Agree,Agree,Agree,Disagree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Disagree,Yes,No,Yes,Yes,Beginner
Disagree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Agree,Disagree,Agree,No,No,No,Yes,Beginner
Disagree,Disagree,Disagree,Agree,Yes,No,No,Yes,Beginner
Agree,Disagree,Disagree,Agree,No,No,No,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,No,Yes,Beginner
Agree,Disagree,Disagree,Agree,Yes,No,No,Yes,Beginner
Agree,Disagree,Disagree,Agree,No,No,No,No,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Agree,No,No,No,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,No,Yes,Yes,Beginner
Agree,Disagree,Disagree,Agree,No,No,Yes,Yes,Beginner
Agree,Disagree,Disagree,Agree,No,No,No,Yes,Beginner
Agree,Disagree,Disagree,Agree,No,No,No,No,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Agree,No,No,No,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,Yes,Yes,No,Beginner
Disagree,Disagree,Agree,Agree,No,No,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Agree,Disagree,Disagree,No,No,No,No,Beginner
Agree,Agree,Agree,Disagree,No,No,No,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,No,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Disagree,No,Yes,No,No,Beginner
Agree,Disagree,Agree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,No,Yes,Yes,Yes,Beginner
Disagree,Agree,Agree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Disagree,No,Yes,Yes,No,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Agree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Agree,Disagree,No,No,Yes,No,Beginner
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Agree,Agree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Agree,Disagree,Disagree,Agree,No,Yes,Yes,No,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,No,Yes,Yes,No,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Disagree,Disagree,Disagree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Agree,Agree,Disagree,Disagree,No,No,Yes,No,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,No,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Agree,Agree,No,No,Yes,Yes,Beginner
Disagree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Agree,No,No,Yes,No,Beginner
Disagree,Disagree,Disagree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Agree,Disagree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,Intermediate
Agree,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Agree,Agree,No,No,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,Yes,Yes,No,Intermediate
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Agree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Agree,Disagree,Disagree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Agree,Yes,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,No,No,Yes,Yes,Beginner
Agree,Agree,Disagree,Disagree,No,Yes,Yes,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,No,No,Yes,No,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Agree,Agree,Agree,Agree,Yes,No,No,No,Beginner
Agree,Agree,Agree,Agree,Yes,No,No,No,Beginner
Agree,Agree,Agree,Agree,Yes,No,No,No,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,No,No,Beginner
Agree,Agree,Agree,Agree,Yes,Yes,No,No,Beginner
Agree,Disagree,Agree,Agree,No,Yes,No,No,Beginner
Disagree,Agree,Agree,Agree,No,Yes,No,No,Beginner
Disagree,Agree,Agree,Agree,No,Yes,No,No,Beginner
Agree,Agree,Agree,Disagree,No,No,No,No,Beginner
Disagree,Disagree,Disagree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Agree,Yes,No,Yes,Yes,Intermediate
Disagree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,No,Yes,Yes,Intermediate
Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,No,No,Yes,Intermediate
Agree,Disagree,Disagree,Agree,No,No,No,No,Beginner
Disagree,Agree,Disagree,Disagree,Yes,Yes,No,No,Beginner
Disagree,Disagree,Disagree,Agree,Yes,Yes,No,No,Beginner
Agree,Agree,Agree,Agree,No,No,No,No,Beginner
Agree,Agree,Agree,Disagree,Yes,No,No,No,Beginner
Disagree,Disagree,Agree,Disagree,No,No,No,No,Beginner
Disagree,Agree,Agree,Disagree,Yes,Yes,No,Yes,Intermediate
Disagree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,Intermediate
Disagree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Intermediate
Disagree,Agree,Disagree,Agree,No,No,No,No,Beginner
Agree,Agree,Agree,Agree,No,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,Yes,No,No,Yes,Beginner
Agree,Agree,Agree,Disagree,No,No,Yes,No,Beginner
Agree,Disagree,Disagree,Agree,Yes,Yes,Yes,No,Intermediate
Agree,Agree,Disagree,Disagree,No,No,No,Yes,Beginner
Disagree,Disagree,Disagree,Agree,No,No,Yes,Yes,Beginner
Disagree,Agree,Disagree,Agree,Yes,No,Yes,Yes,Beginner
Agree,Agree,Agree,Agree,No,Yes,No,No,Beginner
Disagree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Agree,Disagree,Agree,Agree,No,Yes,Yes,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,No,Yes,Yes,Beginner
Disagree,Disagree,Agree,Disagree,No,Yes,Yes,No,Beginner
Agree,Agree,Agree,Agree,No,Yes,No,Yes,Beginner
Agree,Agree,Agree,Agree,No,No,No,Yes,Beginner
Agree,Agree,Agree,Agree,Yes,No,No,No,Beginner
